registration_no,subject_content_text,cleaned_text,annotation
MORLY/E/2023/6910247,Maine ticket ke liye payment kiya tha par mujhe confirmation nahi mila.,ticket payment confirmation nahi mila,"ticket_booking,payment_issue"
MORLY/E/2023/3849567,"Station par clean nahi hai, bahut ganda hai. Aise nahi chalega!",station clean nahi bahut ganda aise nahi chalega,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/2489601,"Staff ka behavior bilkul achha nahi hai, rude hain sab.",staff behavior achha nahi rude,staff_misbehavior
MORLY/E/2023/7156384,"Train ka coach bilkul dirty tha, safai nahi hui thi! Kya yahi service hai?",train coach dirty safai nahi yahi service,"train_cleanliness,service_quality"
MORLY/E/2023/8264913,"Mere ticket ka paisa ab tak nahi aaya, kab tak wait karna padega?",ticket paisa nahi wait padega,ticket_booking
MORLY/E/2023/4692371,"Platform par safety issues hain, kuch bhi nahi hai. Bahut dar lagta hai!",platform safety issues nahi bahut dar lagta,"platform_infrastructure,service_quality"
MORLY/E/2023/5830296,"Kuch staff ko training ki zarurat hai, kaam nahi kar rahe hain theek se.",staff training zarurat kaam nahi theek,"staff_misbehavior,staff_training"
MORLY/E/2023/7241905,"Train ki frequency bahut kam hai, mujhe samasya ho rahi hai.",train frequency bahut kam samasya,service_quality
MORLY/E/2023/4420189,"Mujhe refund nahi mila, main kaise check karoon?",refund nahi mila main check karoon,refund_delay
MORLY/E/2023/9185743,"Railway station par washroom bahut gande hain, sudhar ki zarurat hai.",railway station washroom bahut gande sudhar zarurat,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/0136824,"Kuch staff bahut achhe hain, par kuch logon ko training ki zarurat hai.",staff bahut achhe logon training zarurat,"staff_misbehavior,staff_training"
MORLY/E/2023/3910245,"Train ki frequency bahut kam hai, mujhe samasya ho rahi hai.",train frequency bahut kam samasya,service_quality
MORLY/E/2023/9701354,Maine train ka ticket liya tha par payment fail ho gaya.,train ticket payment fail,"ticket_booking,payment_issue"
MORLY/E/2023/8755461,"Railway station par lift band hai, bahut takleef ho rahi hai.",railway station lift band bahut takleef,platform_infrastructure
MORLY/E/2023/6497138,"Kuch staff ko training ki zarurat hai, wo log samajhte nahi hain.",staff training zarurat log samajhte nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/1554962,"Train ka service bahut bura hai, baar baar delay hota hai.",train service bahut bura baar baar delay,"staff_misbehavior,train_delay,service_quality"
MORLY/E/2023/3876123,"Mujhe ticket ka paisa nahi mila, aur main bahut pareshan hoon.",ticket paisa nahi mila main bahut pareshan,ticket_booking
MORLY/E/2023/5128374,"Railway station par bahut gandi halat hai, safai ki zarurat hai.",railway station bahut gandi halat safai zarurat,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/6401178,"Kuch staff ki training bhi nahi hui hai, achhe se nahi samajhte.",staff training nahi achhe nahi samajhte,"staff_misbehavior,staff_training"
MORLY/E/2023/8780345,Train ke time par nahi aane se mujhe samasya hui. Aap log kuch nahi kar rahe.,train time nahi aane samasya log nahi,train_schedule
MORLY/E/2023/2345678,Mujhe train ki timing ke baare mein jaanana hai. Mera train delayed ho gaya hai.,train timing baare jaanana train delayed,"train_delay,train_schedule"
MORLY/E/2023/3456789,"Mera payment abhi tak process nahi hua hai, please help.",payment abhi process nahi,payment_issue
MORLY/E/2023/4567890,"Station par safai nahi ho rahi hai, bahut ganda hai.",station safai nahi bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678901,Train ke staff ka behavior bahut kharab hai. Unhe training ki zarurat hai.,train staff behavior bahut kharab training zarurat,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/6789012,"Train time pe nahi aayi, bahut pareshani hui.",train time nahi bahut pareshani,train_schedule
MORLY/E/2023/7890123,"Payment gateway issue ho raha hai, please help.",payment gateway issue,"payment_issue,service_quality"
MORLY/E/2023/8901234,"Platform par paani bhara hai, safai nahi ho rahi hai.",platform paani bhara safai nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/9012345,"Train ka staff behtar hona chahiye, unka behavior achha nahi hai.",train staff behtar chahiye behavior achha nahi,staff_misbehavior
MORLY/E/2023/0123456,"Train ka schedule sahi nahi hai, bahut dikkat hui.",train schedule sahi nahi bahut dikkat,train_schedule
MORLY/E/2023/1234567,"Payment ka confirmation nahi aaya hai, please check.",payment confirmation nahi check,payment_issue
MORLY/E/2023/2345678,"Railway station par lift kharab hai, bahut dikkat ho rahi hai.",railway station lift kharab bahut dikkat,"platform_infrastructure,service_quality"
MORLY/E/2023/3456789,"Mere saath staff ne achha vyavhaar nahi kiya, please dekhiye.",saath staff achha vyavhaar nahi dekhiye,staff_misbehavior
MORLY/E/2023/4567890,"Train me seat nahi mili, bahut pareshani ho rahi hai.",train seat nahi mili bahut pareshani,service_quality
MORLY/E/2023/5678901,"Mera refund abhi tak nahi aaya, please jald dekhiye.",refund abhi nahi jald dekhiye,refund_delay
MORLY/E/2023/6789012,"Foot overbridge ki surat bahut kharab hai, repair karwana chahiye.",foot overbridge surat bahut kharab repair karwana chahiye,"platform_infrastructure,service_quality"
MORLY/E/2023/7890123,"Staff ne mujhe achhe se nahi sunha, unka vyavhaar behtar hona chahiye.",staff achhe nahi sunha vyavhaar behtar chahiye,staff_misbehavior
MORLY/E/2023/8901234,"Train ka late hona roz ki baat hai, is par kuch kiya jaye.",train late roz baat jaye,train_delay
MORLY/E/2023/0123457,"Mujhe refund nahi mila hai, aap log kya kar rahe ho?",refund nahi mila log,refund_delay
MORLY/E/2023/1234567,Train ka timing sahi nahi hai. Pichle haftay meri train 2 ghante late aayi.,train timing sahi nahi pichle haftay train ghante late,"train_delay,train_schedule"
MORLY/E/2023/2345678,Mujhe ticket booking ke liye paisa deduct hua par ticket nahi mila!,ticket booking paisa deduct ticket nahi mila,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,Station staff ka behavior bilkul accha nahi hai. Unhone meri madad nahi ki.,station staff behavior accha nahi unhone nahi,"staff_misbehavior,platform_infrastructure"
MORLY/E/2023/4567890,"Platform par safai nahi hai aur kuch lights bhi nahi chal rahi hain, bahut dikkat hoti hai.",platform safai nahi lights nahi chal bahut dikkat,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678901,Meri train baar-baar cancel ho rahi hai. Bahut pareshani ho rahi hai.,train baarbaar cancel bahut pareshani,ticket_booking
MORLY/E/2023/6789012,Mere account se paisa toh gaya par ticket still nahi mili. Kya problem hai?,account paisa ticket still nahi mili problem,"ticket_booking,payment_issue"
MORLY/E/2023/7890123,Mere saath ticket counter par staff ne achhe se baat nahi ki. Bhut rude the.,saath ticket counter staff achhe baat nahi bhut rude,"ticket_booking,staff_misbehavior"
MORLY/E/2023/8901234,"Station ki facilities bilkul low hai, toilets bhi clean nahi hain. Please dekhiye!",station facilities low toilets clean nahi dekhiye,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/9012345,"Train ki timing kabhi bhi nahi milti, bahut der hoti hai. Koi solution nahi hai kya?",train timing nahi milti bahut der solution nahi,train_schedule
MORLY/E/2023/0123456,Mujhe refund chahiye par koi jawab nahi aa raha. Kya karun?,refund chahiye jawab nahi karun,refund_delay
MORLY/E/2023/1234568,Conductor ne mere se rude behavior kiya. Bahut bura laga.,conductor rude behavior bahut bura laga,staff_misbehavior
MORLY/E/2023/2345679,"Waiting room bilkul accha nahi hai, behad ganda hai. Kya aap ispar kuch kar sakte hain?",waiting room accha nahi behad ganda ispar sakte,train_cleanliness
MORLY/E/2023/3456780,"Train ka system bahut slow hai, humesha issue hota hai. Ispar koi solution nahi hai?",train system bahut slow humesha issue ispar solution nahi,"train_delay,service_quality"
MORLY/E/2023/4567891,Kya aap mujhe mere ticket ka refund de sakte hain? Kafi din ho gaye.,ticket refund sakte kafi din,"refund_delay,ticket_booking"
MORLY/E/2023/5678902,Mere saath staff ne achha behave nahi kiya. Unko training ki zaroorat hai.,saath staff achha behave nahi unko training zaroorat,"staff_misbehavior,staff_training"
MORLY/E/2023/6789013,Seating area bahut dirty hai. Koi safai nahi kar raha hai. Ispar kuch karna zaroori hai.,seating area bahut dirty safai nahi ispar zaroori,train_cleanliness
MORLY/E/2023/7890124,Kafi baar train ka system down hota hai. Ye bahut dikkat kar raha hai.,kafi baar train system bahut dikkat,service_quality
MORLY/E/2023/8901235,"Mujhe payment ki confirmation nahi mil rahi, ticket ka kya hoga?",payment confirmation nahi mil ticket hoga,"ticket_booking,payment_issue"
MORLY/E/2023/9012346,"Conductor ne kuch nahi kaha, mujhe bilkul ignore kiya. Ye bilkul unacceptable hai.",conductor nahi kaha ignore unacceptable,staff_misbehavior
MORLY/E/2023/0123457,"Railway station ki safai bahut kharab hai, kuch nahi dekh rahe hain kya.",railway station safai bahut kharab nahi dekh,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/1234567,"Sir, mere train ka schedule baar baar change ho raha hai. Is par kuch kar sakte hain?",train schedule baar baar change sakte,train_schedule
MORLY/E/2023/2345678,Paisa refund hone mein der ho rahi hai. Kya aap log is par kuch kar sakte hain?,paisa refund hone der log sakte,refund_delay
MORLY/E/2023/3456789,"Platform par safai nahi ho rahi hai, bahut gandh hai. Jaldi kuch karein!",platform safai nahi bahut gandh jaldi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/4567890,Train ke staff ka behavior bilkul accha nahi hai. Is par action hona chahiye.,train staff behavior accha nahi action chahiye,staff_misbehavior
MORLY/E/2023/5678901,Train punctuality pe dikkat aa rahi hai. Kya kuch kiya ja sakta hai?,train punctuality dikkat sakta,train_schedule
MORLY/E/2023/6789012,Mujhe refund nahi mila hai. Mere payment ka kya hoga?,refund nahi mila payment hoga,"refund_delay,payment_issue"
MORLY/E/2023/7890123,Station ke washrooms bahut gande hain. Iska kya hoga?,station washrooms bahut gande hoga,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/8901234,Conductor ne mujhe bekaar samjha. Iske liye kya action hoga?,conductor bekaar samjha iske action hoga,staff_misbehavior
MORLY/E/2023/9012345,"Mere train ka platform badal gaya, mujhe nahi pata chala. Yeh kyun?",train platform badal nahi pata chala,"platform_infrastructure,service_quality"
MORLY/E/2023/0123456,Mujhe train ticket par refund milna chahiye. Yeh kab aayega?,train ticket refund milna chahiye aayega,"refund_delay,ticket_booking"
MORLY/E/2023/1234568,Station par seating arrangement theek nahi hai. Kya kuch kar sakte hain?,station seating arrangement theek nahi sakte,platform_infrastructure
MORLY/E/2023/2345679,Train staff ka attitude theek nahi hai. Aap log kya karoge?,train staff attitude theek nahi log karoge,staff_misbehavior
MORLY/E/2023/3456780,"Train ki timing nahi mil rahi hai, bahut pareshaan ho gaya hoon.",train timing nahi mil bahut pareshaan,train_schedule
MORLY/E/2023/4567891,Refund nahi mila hai. Jaldi please madad karein!,refund nahi mila jaldi,refund_delay
MORLY/E/2023/5678902,Railway station ke bahar traffic bahut badh gaya hai. Is par kuch kar sakte hain?,railway station bahar traffic bahut badh sakte,"platform_infrastructure,service_quality"
MORLY/E/2023/6789013,Conductor ki baatein bilkul theek nahi thi. Is par kya action hoga?,conductor baatein theek nahi action hoga,staff_misbehavior
MORLY/E/2023/7890124,"Train chalne mein late ho rahi hai, mujhe samay par pohachna hai.",train chalne late samay pohachna,train_delay
MORLY/E/2023/8901235,"Refund ka process itna slow hai, mujhe jabardasti payment karna pada.",refund process slow jabardasti payment pada,"refund_delay,train_delay,payment_issue"
MORLY/E/2023/9012346,Railway station ke platforms bahut kharab hain. Is par kya kiya jaa raha hai?,railway station platforms bahut kharab jaa,"platform_infrastructure,service_quality"
MORLY/E/2023/2345678,"Mujhe abhi tak mera refund nahi mila hai. Main ne payment ki thi, lekin kuch nahi hua.",abhi refund nahi mila main payment nahi,"refund_delay,payment_issue"
MORLY/E/2023/3456789,"Train time pe nahi aayi. Kafi der ho gayi thi, bhut pareshani hui.",train time nahi kafi der bhut pareshani,train_schedule
MORLY/E/2023/4567890,Platform ka halat bahut kharab hai. Behat bura hai yeh.,platform halat bahut kharab behat bura,"staff_misbehavior,platform_infrastructure,service_quality"
MORLY/E/2023/5678901,Railway staff ka behavior theek nahi tha. Bahut rude the wo.,railway staff behavior theek nahi bahut rude,staff_misbehavior
MORLY/E/2023/6789012,"Mera ticket ka paisa wapas nahi hua, maine cancel kiya tha.",ticket paisa wapas nahi cancel,"refund_delay,ticket_booking"
MORLY/E/2023/7890123,"Train time se nahi ja rahi hai, mujhe kya karna hai?",train time nahi,train_schedule
MORLY/E/2023/8901234,"Station par safai nahi hai, bahut ganda hai.",station safai nahi bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/9012345,"Railway staff ne meri madad nahi ki, bahut takleef hui.",railway staff nahi bahut takleef,staff_misbehavior
MORLY/E/2023/0123456,"Mujhe ticket ke liye zyada paisa deduct hua hai, samasya kya hai?",ticket zyada paisa deduct samasya,"ticket_booking,payment_issue"
MORLY/E/2023/1234567,"Train ka schedule update nahi hua hai, mujhe confusion ho raha hai.",train schedule update nahi confusion,train_schedule
MORLY/E/2023/2345679,"Railway station par water facility nahi hai, bahut mushkil hota hai.",railway station water facility nahi bahut mushkil,platform_infrastructure
MORLY/E/2023/3456780,"Clerk ne meri baat nahi suni, bahut takleef hui.",clerk baat nahi suni bahut takleef,service_quality
MORLY/E/2023/4567891,"Mujhe unwanted charges aaye hain, please check.",unwanted charges aaye check,service_quality
MORLY/E/2023/5678902,"Train ka samay nahi hai, bahut confusion hai.",train samay nahi bahut confusion,service_quality
MORLY/E/2023/6789013,"Station ke toilets bahut gande hain, koi sudhar nahi hai.",station toilets bahut gande sudhar nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/7890124,"Railway staff ne meri madad nahi ki, main pareshan hoon.",railway staff nahi main pareshan,staff_misbehavior
MORLY/E/2023/8901235,"Mera ticket ka paisa wapas nahi mila, maine cancel kiya tha.",ticket paisa wapas nahi mila cancel,"refund_delay,ticket_booking"
MORLY/E/2023/9012346,"Train ka samay nahi aa raha hai, mujhe khud jaana pad raha hai.",train samay nahi khud jaana pad,service_quality
MORLY/E/2023/0123457,"Station par parking ki kami hai, mujhe samasya hoti hai.",station parking kami samasya,platform_infrastructure
MORLY/E/2023/1234567,Mujhe train ka schedule samajh nahi aa raha. Please help!,train schedule samajh nahi,train_schedule
MORLY/E/2023/2345678,"Mere ticket ki payment nahi hui, please madad karein.",ticket payment nahi,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,"Station par safai nahi hai, bahut ganda hai. Please dekhiyega.",station safai nahi bahut ganda dekhiyega,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/4567890,"Railway staff bahut rude hai, unka behavior bilkul achha nahi tha.",railway staff bahut rude behavior achha nahi,staff_misbehavior
MORLY/E/2023/5678901,"Train time table galat hai, update karna padega.",train time table galat update padega,train_schedule
MORLY/E/2023/6789012,"Ticket ki payment nahi hui, please help!",ticket payment nahi,"ticket_booking,payment_issue"
MORLY/E/2023/7890123,"Railway station par bahut zyada paani bhara hai, koi dekh nahi raha hai.",railway station bahut zyada paani bhara dekh nahi,platform_infrastructure
MORLY/E/2023/8901234,"Staff ka behavior thik nahi hai, improvement chahiye.",staff behavior thik nahi improvement chahiye,staff_misbehavior
MORLY/E/2023/9012345,"Train late aayi, iski proper information nahi thi.",train late iski proper information nahi,"train_delay,staff_training"
MORLY/E/2023/0123456,"Mere account se paisa nahi gaya, check karein.",account paisa nahi check,payment_issue
MORLY/E/2023/1234568,"Station ki infrastructure bahut kharab hai, repair ki zaroorat hai.",station infrastructure bahut kharab repair zaroorat,"platform_infrastructure,service_quality"
MORLY/E/2023/2345679,"Staff ko training ki zaroorat hai, unka behavior theek nahi hai.",staff training zaroorat behavior theek nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/3456780,"Train ka time badal gaya hai, mujhe pehle se batana chahiye tha.",train time badal pehle batana chahiye,"service_quality,train_schedule"
MORLY/E/2023/4567891,Mere payment ka confirmation nahi aaya hai. Please check karein.,payment confirmation nahi check,payment_issue
MORLY/E/2023/5678902,"Tracks ki condition bahut kharab hai, train chalana mushkil ho raha hai.",tracks condition bahut kharab train chalana mushkil,"platform_infrastructure,service_quality"
MORLY/E/2023/6789013,"Staff ki training ki zaroorat hai, unka behavior sahi nahi hai.",staff training zaroorat behavior sahi nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/7890124,"Train late hai, aur kisi ne bhi information nahi di.",train late kisi information nahi,"train_delay,staff_training"
MORLY/E/2023/8901235,"Payment confirm nahi hua hai, kuch samasya hai.",payment confirm nahi samasya,payment_issue
MORLY/E/2023/1234567,"Train ka schedule bahut late hota hai, mujhe office time pe nahi pohoch pa raha hu.",train schedule bahut late office time nahi pohoch,"train_delay,train_schedule"
MORLY/E/2023/2345678,"Mujhe ticket booking ke dauran payment nahi hui, please help!",ticket booking dauran payment nahi,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,Railway staff bahut rude hai aur koi help nahi kar raha hai.,railway staff bahut rude nahi,staff_misbehavior
MORLY/E/2023/4567890,"Platform ki cleanliness bahut bekar hai, koi bhi dhyan nahi de raha hai.",platform cleanliness bahut bekar dhyan nahi,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/5678901,"Train ka cancellation notice nahi mila, mujhe bahut pareshani hui.",train cancellation notice nahi mila bahut pareshani,ticket_booking
MORLY/E/2023/6789012,"Mera money refund nahi ho raha after cancellation, please assist.",money refund nahi cancellation assist,"refund_delay,ticket_booking"
MORLY/E/2023/7890123,"Station staff ki knowledge bahut low hai, kisi ne mujhe help nahi ki.",station staff knowledge bahut low kisi nahi,"staff_misbehavior,platform_infrastructure,staff_training"
MORLY/E/2023/8901234,"Toilet facilities bahut kharab hain, koi safai nahi hoti.",toilet facilities bahut kharab safai nahi,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/9012345,"Train timing mein bahut confusion hai, koi details nahi mil rahi hain.",train timing bahut confusion details nahi mil,train_schedule
MORLY/E/2023/0123456,"Mera transaction fail ho gaya, paise nahi aaye ab tak.",transaction fail paise nahi aaye,payment_issue
MORLY/E/2023/1234568,"Railway staff ne mujhe bekaar samjha, koi madad nahi mili.",railway staff bekaar samjha nahi mili,staff_misbehavior
MORLY/E/2023/2345679,"Train station ka infrastructure bahut purana ho gaya hai, repair ki zarurat hai.",train station infrastructure bahut purana repair zarurat,platform_infrastructure
MORLY/E/2023/3456780,"Train ki timing badal gayi, mujhe kisi ne nahi bataya. Bahut dikkat hui.",train timing badal kisi nahi bataya bahut dikkat,"service_quality,train_schedule"
MORLY/E/2023/4567891,"Mera payment pending hai, please check.",payment pending check,payment_issue
MORLY/E/2023/5678902,"Mujhe staff ki service se bahut pareshani hui, koi madad nahi mili.",staff service bahut pareshani nahi mili,"staff_misbehavior,service_quality"
MORLY/E/2023/6789013,"Railway platforms ki safety bahut kharab hai, kuch nahi kiya ja raha.",railway platforms safety bahut kharab nahi,"platform_infrastructure,service_quality"
MORLY/E/2023/7890124,"Train ka route change ho gaya, mujhe toh pata nahi chala.",train route change pata nahi chala,service_quality
MORLY/E/2023/8901235,"Mera ticket refund nahi ho raha hai, please help!",ticket refund nahi,"refund_delay,ticket_booking"
MORLY/E/2023/9012346,"Railway staff ne mujhe bekar samjha, koi help nahi mili.",railway staff bekar samjha nahi mili,"staff_misbehavior,service_quality"
MORLY/E/2023/4235678,"Train ki timing sahi nahi hai, baar baar delay ho raha hai. Mujhe office time pe pahunchna hai.",train timing sahi nahi baar baar delay office time pahunchna,"train_delay,train_schedule"
MORLY/E/2023/1345789,"Mujhe apne ticket ka paisa wapas nahi mila, please help karein.",apne ticket paisa wapas nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/8765432,"Railway staff ka behavior bahut rude hai, koi bhi madad nahi kar raha.",railway staff behavior bahut rude nahi,staff_misbehavior
MORLY/E/2023/1112223,"Platform bahut kharab hai, log gir jaate hain. Iska kuch karein.",platform bahut kharab log gir jaate,"platform_infrastructure,service_quality"
MORLY/E/2023/2233445,"Train ki seating arrangement bahut bekar hai, samasya ke liye koi help nahi hai.",train seating arrangement bahut bekar samasya nahi,service_quality
MORLY/E/2023/5556667,Mere ticket ka paisa credit nahi hua. Help karein.,ticket paisa credit nahi,ticket_booking
MORLY/E/2023/3344556,"Train mein staff ki kami hai, koi bhi madad nahi kar raha.",train staff kami nahi,staff_misbehavior
MORLY/E/2023/7778889,"Station par facilities bahut bekar hain, kisi kaam ke nahi hain.",station facilities bahut bekar kisi kaam nahi,"platform_infrastructure,service_quality"
MORLY/E/2023/8889990,"Mujhe bahut der se train mil rahi hai, kya aap kuch kar sakte hain?",bahut der train mil sakte,service_quality
MORLY/E/2023/6543210,"Mujhe apne ticket ka paisa wapas chahiye, please help.",apne ticket paisa wapas chahiye,"refund_delay,ticket_booking"
MORLY/E/2023/2223334,"Staff ka behavior theek nahi hai, unse baat nahi hoti.",staff behavior theek nahi unse baat nahi,staff_misbehavior
MORLY/E/2023/4445556,"Station par safai nahi hoti, please kuch karein.",station safai nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/8887776,"Mujhe train time pe nahi mili, bahut pareshani hui.",train time nahi mili bahut pareshani,train_schedule
MORLY/E/2023/1122334,"Mujhe ticket ke liye pay nahi hua, please help karein.",ticket pay nahi,"ticket_booking,payment_issue"
MORLY/E/2023/9988776,"Staff ki kami se train services mein dikkat ho rahi hai, please kuch karein.",staff kami train services dikkat,"staff_misbehavior,service_quality"
MORLY/E/2023/4422110,"Station par lifts kharab hain, please repair karein.",station lifts kharab repair,"platform_infrastructure,service_quality"
MORLY/E/2023/5566334,"Mujhe train ka schedule dekhne mein problem ho rahi hai, koi bhi madad nahi kar raha.",train schedule dekhne problem nahi,train_schedule
MORLY/E/2023/1123589,"Mujhe refund nahi mila, please help karein.",refund nahi mila,refund_delay
MORLY/E/2023/9988655,"Staff se complain hai, madad nahi kar rahe hain.",staff complain nahi,staff_misbehavior
MORLY/E/2023/2233445,"Station ki building ka condition bahut kharab hai, kuch karein.",station building condition bahut kharab,"platform_infrastructure,service_quality"
MORLY/E/2023/1593021,"Mujhe train time pe nahi mili, bahut der ho gaya. Is par kya action liya jaa raha hai?",train time nahi mili bahut der action jaa,train_schedule
MORLY/E/2023/3281410,"Mujhe apni ticket ka paisa wapas nahi mila, please help karein.",apni ticket paisa wapas nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/4738502,Railway staff ki training ke liye koi process hai kya? Unhe behatar hona chahiye.,railway staff training process behatar chahiye,"staff_misbehavior,staff_training"
MORLY/E/2023/8424673,"Station par facilities bahut kharab hain, please kuch karein.",station facilities bahut kharab,"platform_infrastructure,service_quality"
MORLY/E/2023/9567034,Meri train baar baar late ho rahi hai. Is par kya kar rahe hain?,train baar baar late,train_delay
MORLY/E/2023/3578915,"Mujhe ticket book karne par paisa nahi mila, kab milega?",ticket book paisa nahi mila milega,ticket_booking
MORLY/E/2023/7690342,Railway staff kabhi kabhar rude hote hain. Kya aap kuch kar sakte hain?,railway staff kabhar rude sakte,staff_misbehavior
MORLY/E/2023/0284563,"Station ki safai bahut kharab hai, is par dhyan dena chahiye.",station safai bahut kharab dhyan dena chahiye,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/3952784,Train mein facilities acchi nahi hain. Is par action lena chahiye.,train facilities acchi nahi action lena chahiye,"platform_infrastructure,service_quality"
MORLY/E/2023/4825637,Mujhe apni ticket ke liye paisa wapas nahi mila. Kya aap check kar sakte hain?,apni ticket paisa wapas nahi mila check sakte,"refund_delay,ticket_booking"
MORLY/E/2023/7815934,"Kuch staff ka behavior acha nahi hai, unhe training ki zaroorat hai.",staff behavior acha nahi training zaroorat,"staff_misbehavior,staff_training"
MORLY/E/2023/9483721,"Station par parking ki problems hain, is par kuch karein.",station parking problems,platform_infrastructure
MORLY/E/2023/5728004,Mujhe train mein koi khaas facility nahi mili. Is par kya karenge?,train khaas facility nahi mili karenge,service_quality
MORLY/E/2023/1753908,"Mujhe seat confirmation ka message nahi mila, ye bahut zaroori hai.",seat confirmation message nahi mila bahut zaroori,payment_issue
MORLY/E/2023/5623187,"Kuch railway staff ki training ki zaroorat hai, wo kaam nahi kar rahe hain.",railway staff training zaroorat kaam nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/4632081,"Station ki building bahut purani hai, isko renovate karna chahiye.",station building bahut purani isko renovate chahiye,platform_infrastructure
MORLY/E/2023/2917624,"Train schedule kabhi kabhi ghalat hota hai, please dekhein.",train schedule ghalat dekhein,"platform_infrastructure,train_schedule"
MORLY/E/2023/8745032,"Mujhe refund ka confirmation nahi mila, please dekhein.",refund confirmation nahi mila dekhein,"refund_delay,payment_issue"
MORLY/E/2023/9902367,Kuch staff ko customer service mein improvement ki zaroorat hai.,staff customer service improvement zaroorat,"staff_misbehavior,service_quality"
MORLY/E/2023/3468174,"Station par safety measures nahi hain, is par dhyan den.",station safety measures nahi dhyan den,platform_infrastructure
MORLY/E/2023/2018397,"Train ka schedule bahut ghalat hai, ye sahi karein.",train schedule bahut ghalat sahi,"platform_infrastructure,train_schedule"
MORLY/E/2023/3429198,"Mujhe refund ka confirmation nahi mila, ye bahut zaroori hai.",refund confirmation nahi mila bahut zaroori,"refund_delay,payment_issue"
MORLY/E/2023/7654321,Mujhe train number 12345 ke delay ka bahut pareshani hui. Train 3 ghante late aayi!,train number delay bahut pareshani train ghante late,train_delay
MORLY/E/2023/2345678,"Maine 5000 ka ticket book kiya tha, lekin payment fail ho gaya. Please madad karein!",ticket book payment fail,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,Train ke staff ka attitude bilkul kharab tha. Unhe training ki zarurat hai!,train staff attitude kharab training zarurat,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/4567890,Chennai station par safai ka bahut khyal nahi rakha ja raha hai. Bahut gandh hai!,chennai station safai bahut khyal nahi rakha bahut gandh,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678901,Mujhe train ke service se dissatisfaction hai. Bahut late hote hain aur staff bhi rude hai.,train service dissatisfaction bahut late staff rude,"staff_misbehavior,train_delay,service_quality"
MORLY/E/2023/6789012,"Mujhe ticket ke paise refund hone chahiye, lekin mera account number XXXXXX nahi ho raha hai.",ticket paise refund hone chahiye account number xxxxxx nahi,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/7890123,Train ke guard ne mujhe gaali di thi. Yeh bilkul accept nahi hai!,train guard gaali accept nahi,service_quality
MORLY/E/2023/8901234,"Station par lift kharab hai, bahut badi dikkat hoti hai elderly logon ko.",station lift kharab bahut badi dikkat elderly logon,"platform_infrastructure,service_quality"
MORLY/E/2023/9012345,Train ka timing baar baar change hota hai. Ye bilkul nahi hona chahiye!,train timing baar baar change nahi chahiye,train_schedule
MORLY/E/2023/0123456,"Mera payment nahi hua, jabki ticket confirm hai. Account no. XXXXXX hai.",payment nahi jabki ticket confirm account xxxxxx,"ticket_booking,payment_issue"
MORLY/E/2023/1234568,Conductors badi hi rude tarike se baat karte hain. Iska kya?,conductors badi rude tarike baat karte,"staff_misbehavior,service_quality"
MORLY/E/2023/2345679,"Station par koi basic facilities nahi hain, washroom bhi nahi hai!",station basic facilities nahi washroom nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3456780,Train ka schedule bahut hi confusing hai. Is par kuch karna padega.,train schedule bahut confusing padega,train_schedule
MORLY/E/2023/4567891,"Mujhe refund nahi mila, jabki maine cancellation ki thi. Account XXXXXX hai.",refund nahi mila jabki cancellation account xxxxxx,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/5678902,Railway staff ka behaviour bilkul acceptable nahi hai. Unki training honi chahiye.,railway staff behaviour acceptable nahi unki training honi chahiye,"staff_misbehavior,staff_training"
