registration_no,subject_content_text,cleaned_text,ymeans_cluster
MORLY/E/2023/5678901,Staff ka behavior achha nahi tha. Unhe training ki zaroorat hai.,staff behavior achha nahi training zaroorat,0
MORLY/E/2023/6789012,Station ki building purani ho gayi hai. Renovation ki zaroorat hai.,station building purani renovation zaroorat,0
MORLY/E/2023/7890123,"Train bahut late ho rahi hai. Koi solution nahi hai, please kuch karein.",train bahut late solution nahi,0
MORLY/E/2023/8901234,Document submit karne ke bawajood payment nahi aaya. Account XXXXXX1234 hai.,document submit bawajood payment nahi account xxxxxx,1
MORLY/E/2023/9012345,Staff ka attitude theek nahi tha. Unhe training ki zaroorat hai.,staff attitude theek nahi training zaroorat,0
MORLY/E/2023/4567890,"Train delay hua hai, pichle 2 ghante se wait kar rahe hain. Koi update nahi hai.",train delay pichle ghante wait update nahi,0
MORLY/E/2023/6789012,"Mujhe ticket booking ke liye payment nahi mil raha hai, baar baar error aa raha hai.",ticket booking payment nahi mil baar baar error,1
MORLY/E/2023/7890123,"Station par safai nahi hai, please kuch karein. Bahut ganda hai.",station safai nahi bahut ganda,0
MORLY/E/2023/8901234,"Railway staff rude hai, unse baat karne ka koi tareeka nahi hai.",railway staff rude unse baat tareeka nahi,0
MORLY/E/2023/9012345,"Train time se nahi aa rahi hai, ye kya ho raha hai? Bahut pareshaan hoon.",train time nahi bahut pareshaan,0
MORLY/E/2023/0123456,"Refund process nahi ho raha hai, baar baar try kar rahi hoon.",refund process nahi baar baar try,1
MORLY/E/2023/1234567,"Platform par safety issues hain, koi enforcements nahi hai.",platform safety issues enforcements nahi,0
MORLY/E/2023/2345678,"Train ke conductor ne rude behavior kiya, please action lo.",train conductor rude behavior action,0
MORLY/E/2023/3456789,"Train ka seat confirm nahi hua hai, please help.",train seat confirm nahi,0
MORLY/E/2023/4567890,"Mujhe payment karne mein dikkat ho rahi hai, baar baar error aa raha hai.",payment dikkat baar baar error,0
MORLY/E/2023/5678901,"Station par basic facilities nahi hain, koi drinking water nahi hai.",station basic facilities nahi drinking water nahi,0
MORLY/E/2023/6789012,"Mujhe ticket ke liye help chahiye, staff madad nahi kar raha hai.",ticket chahiye staff nahi,0
MORLY/E/2023/7890123,"Train ka timing change ho gaya, koi notice nahi mila.",train timing change notice nahi mila,1
MORLY/E/2023/8901234,"Meri payment pending hai, please help.",payment pending,1
MORLY/E/2023/0123455,"Station par bahut saari problems hain, public toilet nahi hai.",station bahut saari problems public toilet nahi,0
MORLY/E/2023/1234561,"Staff se help nahi mil rahi hai, help karne mein pareshaani ho rahi hai.",staff nahi mil pareshaani,0
MORLY/E/2023/2345672,"Train ka schedule bar-bar change ho raha hai, samasya hai.",train schedule barbar change samasya,0
MORLY/E/2023/3456780,"Payment issue hai, card se payment nahi ho raha hai.",payment issue card payment nahi,1
MORLY/E/2023/4567891,"Bathroom ke condition bahut kharab hai, please kuch karein.",bathroom condition bahut kharab,0
MORLY/E/2023/5678902,"Mujhe kisi staff se samajhne mein dikkat ho rahi hai, please madad karein.",kisi staff samajhne dikkat,0
MORLY/E/2023/4376519,Mujhe apne ticket ki payment ka refund nahi mila. Maine 2 din pehle cancel kiya tha.,apne ticket payment refund nahi mila din pehle cancel,1
MORLY/E/2023/1234567,"Train ka time schedule bilkul galat hai, baar baar delay ho raha hai!",train time schedule galat baar baar delay,0
MORLY/E/2023/4567890,"Station par facilities bahut kharab hain, clean nahi kiya ja raha hai.",station facilities bahut kharab clean nahi,0
MORLY/E/2023/9876543,"Staff ka behavior bekar hai, unhe training ki zarurat hai.",staff behavior bekar training zarurat,0
MORLY/E/2023/6743210,Maine ticket cancel kiya tha par ab tak refund nahi aaya hai.,ticket cancel refund nahi,1
MORLY/E/2023/5467891,"Train time pe nahi aayi, mujhe bahut dikkat hui.",train time nahi bahut dikkat,0
MORLY/E/2023/1230987,"Station par seating arrangement bahut bekar hai, log takleef mein hain.",station seating arrangement bahut bekar log takleef,0
MORLY/E/2023/8901234,"Ticket collector ne mujhe achhe se nahi samjha, please staff ko train karein.",ticket collector achhe nahi samjha staff train,0
MORLY/E/2023/6723458,"Mujhe refund nahi mil raha hai, maine cancellation kiya tha.",refund nahi mil cancellation,1
MORLY/E/2023/5432178,Train ka schedule change hone par mujhe samasya hui.,train schedule change hone samasya,0
MORLY/E/2023/8765432,"Station par toilet facilities bahut kharab hain, bahut ganda hai.",station toilet facilities bahut kharab bahut ganda,0
MORLY/E/2023/9081723,Ticket ke liye staff se baat karne par unhone achhe se nahi suna.,ticket staff baat unhone achhe nahi suna,0
MORLY/E/2023/3216549,"Maine payment successfully ki thi, par ticket nahi mili.",payment successfully ticket nahi mili,1
MORLY/E/2023/6547892,"Train baar baar cancel ho rahi hai, mujhe bahut dikkat hoti hai.",train baar baar cancel bahut dikkat,0
MORLY/E/2023/7890123,"Railway station ki building bahut purani ho gayi hai, repair ki zarurat hai.",railway station building bahut purani repair zarurat,0
MORLY/E/2023/2345678,"Customer service bahut bekar hai, staff kuch nahi kar raha hai.",customer service bahut bekar staff nahi,0
MORLY/E/2023/4561237,"Mujhe refund nahi mila hai, please check karein.",refund nahi mila check,1
MORLY/E/2023/0987654,"Train baar baar late ho rahi hai, mujhe samasya ho rahi hai.",train baar baar late samasya,0
MORLY/E/2023/5432167,"Station par parking ki facility nahi hai, yeh bahut dikkat hai.",station parking facility nahi bahut dikkat,0
MORLY/E/2023/1357924,"Staff ka behavior theek nahi hai, unse baat karne par dikkat hoti hai.",staff behavior theek nahi unse baat dikkat,0
MORLY/E/2023/2345678,Platform pe safai nahi ho rahi hai. Bohot ganda hai. Please kuch karein.,platform safai nahi bohot ganda,0
MORLY/E/2023/3456789,Train time pe nahi aayi. Bahut der ho gayi! Kya kar rahe hain aap log?,train time nahi bahut der log,0
MORLY/E/2023/4567890,Maine ticket book kiya lekin paise nahi aaye. Account number: XXXXXX1234. Help!,ticket book paise nahi aaye account number xxxxxx,1
MORLY/E/2023/5678901,"Staff rude hai, koi bhi help nahi karta. Kya aap log kuch nahi kar sakte?",staff rude nahi karta log nahi sakte,0
MORLY/E/2023/6789012,"Track bahut kharab hai, train ko bahut problem ho rahi hai. Is par dhyan dein.",track bahut kharab train bahut problem dhyan dein,0
MORLY/E/2023/7890123,"Train ka schedule bahut hi badal raha hai, kuch fix nahi hai. Iska kya solution hai?",train schedule bahut badal fix nahi solution,0
MORLY/E/2023/8901234,"Mujhe refund nahi mila, transaction ID: XXXXXX4567. Help chahiye.",refund nahi mila transaction xxxxxx chahiye,1
MORLY/E/2023/9012345,Staff bahut arrogant hai. Unse baat karna mushkil hai. Iska kya?,staff bahut arrogant unse baat mushkil,0
MORLY/E/2023/0123456,"Overhead bridge kharab hai, train ko rukna pad raha hai. Please kuch karein!",overhead bridge kharab train rukna pad,0
MORLY/E/2023/1234567,"Train ka schedule samajh nahi aa raha, baar baar badal raha hai. Help karein!",train schedule samajh nahi baar baar badal,0
MORLY/E/2023/2345678,Maine ticket ka payment kiya par abhi tak confirmation nahi aaya. Help!,ticket payment abhi confirmation nahi,1
MORLY/E/2023/3456789,Kuch staff ka behavior theek nahi hai. Isse sudharne ki zarurat hai.,staff behavior theek nahi isse sudharne zarurat,0
MORLY/E/2023/4567890,Railway station ki building bahut purani ho gayi hai. Iska kuch karna chahiye.,railway station building bahut purani chahiye,0
MORLY/E/2023/5678901,"Train ka platform badal diya gaya hai, bahut dikkat ho rahi hai. Please kuch karein!",train platform badal bahut dikkat,0
MORLY/E/2023/6789012,"Refund ka process samajh nahi aa raha, kya aap madad kar sakte hain? Transaction ID: XXXX1234.",refund process samajh nahi sakte transaction xxxx,0
MORLY/E/2023/7890123,Staff ka attitude bilkul theek nahi hai. Kya isko change kiya ja sakta hai?,staff attitude theek nahi isko change sakta,0
MORLY/E/2023/8901234,Station ki facilities kaafi poor hain. Is par kuch karna zaroori hai.,station facilities poor zaroori,0
MORLY/E/2023/9012345,"Train service bahut bekar hai, kya isme kuch sudhar kiya ja sakta hai?",train service bahut bekar isme sudhar sakta,0
MORLY/E/2023/2345678,Train ka schedule kab badal gaya? Maine toh check kiya tha. Badi dikkat ho rahi hai.,train schedule badal check badi dikkat,0
MORLY/E/2023/3456789,"Mujhe refund nahi mila. Pehle hi payment kiya tha, ab kya karun?",refund nahi mila pehle payment karun,1
MORLY/E/2023/4567890,Train ke staff ki behave badhiya nahi thi. Unko training chahiye.,train staff behave badhiya nahi unko training chahiye,0
MORLY/E/2023/5678901,Platform pe bahut gande paani hai. Safety issue hai.,platform bahut gande paani safety issue,0
MORLY/E/2023/6789012,Meri train baar baar late ho rahi hai. Isko theek karo!,train baar baar late isko theek,0
MORLY/E/2023/7890123,Main payment nahi kar pa raha hoon. Issues aa rahe hain.,main payment nahi issues,1
MORLY/E/2023/8901234,Station staff hamesha rude rahte hain. Thoda manners seekhna chahiye.,station staff hamesha rude rahte thoda manners seekhna chahiye,0
MORLY/E/2023/9012345,Railway station ki building bahut purani ho gayi hai. Iska kuch karo.,railway station building bahut purani,0
MORLY/E/2023/0123456,Meri train ka route badal gaya hai bina kisi notice ke. Ye kaise ho sakta hai?,train route badal bina kisi notice sakta,0
MORLY/E/2023/1234560,"Mujhe refund nahi mila ab tak, kab milega?",refund nahi mila milega,1
MORLY/E/2023/2345601,Mere saath train mein ek staff ne bohot bura behave kiya. Kya yeh sahi hai?,saath train staff bohot bura behave sahi,0
MORLY/E/2023/3456012,Station pe bahut saari jagah hai jahan potholes hain. Ye unsafe hai!,station bahut saari jagah jahan potholes unsafe,0
MORLY/E/2023/4560123,Meri train baar baar cancel ho rahi hai. Kya yeh sahi hai?,train baar baar cancel sahi,0
MORLY/E/2023/5601234,Mujhe apne payments ke liye koi confirmation nahi mila. Please help!,apne payments confirmation nahi mila,1
MORLY/E/2023/6012345,Train mein staff ka behaviour bohot bura tha. Kya yeh acceptable hai?,train staff behaviour bohot bura acceptable,0
MORLY/E/2023/7123456,Station ka maintenance bohot kharab hai. Ye unsafe hai.,station maintenance bohot kharab unsafe,0
MORLY/E/2023/8123456,Train ki timings kabhi sahi nahi hoti. Ye sab kuch theek karna hai.,train timings sahi nahi theek,0
MORLY/E/2023/9123456,Mere payment ka confirmation nahi mila. Kya aap dekh sakte hain?,payment confirmation nahi mila dekh sakte,1
MORLY/E/2023/1234567,"Trains are always late, bahut pareshani hoti hai har baar jab travel karte hain.",trains always late bahut pareshani har baar jab travel karte,0
MORLY/E/2023/2345678,"Payment nahi ho raha hai, baar baar error aa raha hai. Bahut dikkat ho rahi hai.",payment nahi baar baar error bahut dikkat,0
MORLY/E/2023/3456789,"Railway staff rude hai, unse baat karne mein samasya hoti hai.",railway staff rude unse baat samasya,0
MORLY/E/2023/4567890,"Platform bahut ganda hai, safai par dhyan diya jaye.",platform bahut ganda safai dhyan jaye,0
MORLY/E/2023/5678901,Train timing ke baare mein koi information nahi mil rahi hai.,train timing baare information nahi mil,0
MORLY/E/2023/6789012,"Refund nahi mil raha hai, baar baar complaint ki hai par kuch nahi hua.",refund nahi mil baar baar complaint nahi,1
MORLY/E/2023/7890123,"Staff ki training sahi nahi hai, unhe samajh nahi aata ki passenger ki kaise help karein.",staff training sahi nahi samajh nahi aata passenger,0
MORLY/E/2023/8901234,"Station ki building purani ho gayi hai, repair karne ki zarurat hai.",station building purani repair zarurat,0
MORLY/E/2023/9012345,Train ka schedule kabhi bhi update nahi hota. Yeh sahi nahi hai.,train schedule update nahi sahi nahi,0
MORLY/E/2023/0123456,"Card se payment kiya, par amount deduct ho gaya par ticket nahi mili.",card payment amount deduct ticket nahi mili,1
MORLY/E/2023/1234567,"Ticket collector rude hai, unhone mere saath achhe se baat nahi ki.",ticket collector rude unhone saath achhe baat nahi,0
MORLY/E/2023/2345678,"Station ki facilities bahut bekar hai, koi bhi maintenance nahi ho raha.",station facilities bahut bekar maintenance nahi,0
MORLY/E/2023/3456789,Train delay hoti hai par koi update nahi milta. Koi phone number bhi nahi hai.,train delay update nahi milta phone number nahi,0
MORLY/E/2023/4567890,"Online payment karne par transaction fail ho gaya tha, refund nahi mil raha.",online payment transaction fail refund nahi mil,1
MORLY/E/2023/5678901,"Ticket checker ka attitude theek nahi hai, passengers ko samajhna chahiye.",ticket checker attitude theek nahi passengers samajhna chahiye,0
MORLY/E/2023/6789012,"Platform par seating arrangements nahi hai, yeh bahut dikkat hai.",platform seating arrangements nahi bahut dikkat,0
MORLY/E/2023/7890123,"Train ka cancellation ka koi reason nahi bataya jata, yeh achha nahi hai.",train cancellation reason nahi bataya jata achha nahi,0
MORLY/E/2023/8901234,"Mera ticket ka payment abhi tak nahi aaya, baar baar check karne par bhi nahi dikh raha.",ticket payment abhi nahi baar baar check nahi dikh,1
MORLY/E/2023/9012345,"Railway staff ki training bahut zaruri hai, unhe kaise help karna hai yeh nahi pata.",railway staff training bahut zaruri nahi pata,0
MORLY/E/2023/1357924,Railway station ki cleaning bahut kharab hai. Kya aap kuch nahi kar sakte?,railway station cleaning bahut kharab nahi sakte,0
MORLY/E/2023/6789012,Train late aati hai aur koi information nahi milti hai. Mere plans ka kya hoga?,train late aati information nahi milti plans hoga,0
MORLY/E/2023/2468013,"Mujhe payment issue aa raha hai, refund nahi mil raha hai. Kya aap help kar sakte hain?",payment issue refund nahi mil sakte,1
MORLY/E/2023/1357980,Railway staff rude hain aur help nahi karte. Main bahut pareshan hoon.,railway staff rude nahi karte main bahut pareshan,0
MORLY/E/2023/2469840,Trains nahi mil rahi hain kabhi kabhi. Kya koi solution hai?,trains nahi mil solution,0
MORLY/E/2023/1357964,"Station par bahut kharab infrastructure hai, rasta bhi theek nahi hai.",station bahut kharab infrastructure rasta theek nahi,0
MORLY/E/2023/7892345,"Mujhe refund nahi mil raha, please check karein.",refund nahi mil check,1
MORLY/E/2023/4567890,"Railway ka staff bahut ajeeb hai, koi help nahi kar raha hai.",railway staff bahut ajeeb nahi,0
MORLY/E/2023/1234567,"Train ka schedule har baar change hota hai, main pareshan hoon.",train schedule har baar change main pareshan,0
MORLY/E/2023/9876543,"Platform ki cleanliness bahut kharab hai, please kuch karein.",platform cleanliness bahut kharab,0
MORLY/E/2023/1122334,Mujhe booking ke liye payment nahi ho raha. Main kya karun?,booking payment nahi main karun,1
MORLY/E/2023/3344556,"Koi bhi railway staff se baat nahi kar raha hai, mujhe madad chahiye.",railway staff baat nahi chahiye,0
MORLY/E/2023/7654321,"Train ke time change ho rahe hain, kya koi fix kar sakta hai?",train time change fix sakta,0
MORLY/E/2023/2233445,"Platform bahut kharab hai, koi bhi repair nahi ho raha.",platform bahut kharab repair nahi,0
MORLY/E/2023/3344556,"Mujhe payment nahi mil raha, please help karein.",payment nahi mil,1
MORLY/E/2023/9871234,Staff ka behaviour bahut kharab hai. Koi bhi madad nahi kar raha.,staff behaviour bahut kharab nahi,0
MORLY/E/2023/5556667,Train ka timetable samajh nahi aa raha. Kya samasya hai?,train timetable samajh nahi samasya,0
MORLY/E/2023/7778889,"Station par koi bhi proper infrastructure nahi hai, sab kuch kharab hai.",station proper infrastructure nahi kharab,0
MORLY/E/2023/1112223,"Payment issue hai, refund nahi mil raha hai, please check karein.",payment issue refund nahi mil check,1
MORLY/E/2023/4445556,"Koi staff madad nahi kar raha, aap kya karenge?",staff nahi karenge,0
MORLY/E/2023/2345678,Mujhe train ke schedule ke baare mein information chahiye. Kab aayegi meri train? Samay se nahi aayi toh bahut dikkat hogi.,train schedule baare information chahiye aayegi train samay nahi bahut dikkat hogi,0
MORLY/E/2023/3456789,Mera payment process nahi ho raha hai. Kya mein apne PNR XXXXXX ka paisa wapas paa sakti hoon?,payment process nahi apne pnr xxxxxx paisa wapas paa sakti,1
MORLY/E/2023/4567890,"Station par safai bahut bura hai. Mera PNR XXXXXX hai, maine notice kiya ki platform par kachra hai.",station safai bahut bura pnr xxxxxx notice platform kachra,0
MORLY/E/2023/5678901,Staff ka behavior bilkul acha nahi hai. Kya aap unhe training de sakte hain? PNR XXXXXX.,staff behavior acha nahi training sakte pnr xxxxxx,0
MORLY/E/2023/6789012,"Train ka delay bahut bura hai. Mere pass ticket hai, lekin train kab aayegi iski koi information nahi hai.",train delay bahut bura pass ticket train aayegi iski information nahi,0
MORLY/E/2023/7890123,"Mujhe apna ticket cancel karna hai, lekin paisa nahi aa raha. Kya mujhe XXXXXX ka paisa mil sakta hai?",apna ticket cancel paisa nahi xxxxxx paisa mil sakta,1
MORLY/E/2023/8901234,"Platform par kuch kaam ho raha hai, lekin bahut samasya ho rahi hai. PNR XXXXXX hai.",platform kaam bahut samasya pnr xxxxxx,0
MORLY/E/2023/9012345,Kuch staff bilkul bhi madad nahi kar rahe hain. PNR XXXXXX par koi suvidha nahi di gayi.,staff nahi pnr xxxxxx suvidha nahi,0
MORLY/E/2023/0123456,"Train ka timetable galat hai. Main baar baar check karta hoon, lekin koi sudhar nahi hai.",train timetable galat main baar baar check karta sudhar nahi,0
MORLY/E/2023/1234567,Mujhe lagta hai ki mera refund nahi aaya. Kya XXXXXX ka paisa milega?,lagta refund nahi xxxxxx paisa milega,1
MORLY/E/2023/2345678,Platform bahut kharab hai. PNR XXXXXX ke liye koi sudhar nahi hai.,platform bahut kharab pnr xxxxxx sudhar nahi,0
MORLY/E/2023/3456789,Kuch employees rude hain. Kya aap unhe training de sakte hain? Mera PNR XXXXXX.,employees rude training sakte pnr xxxxxx,0
MORLY/E/2023/4567890,Mujhe train ka status nahi mil raha hai. Kya aap mujhe PNR XXXXXX ka status batayenge?,train status nahi mil pnr xxxxxx status batayenge,0
MORLY/E/2023/5678901,Mujhe apne ticket ka paisa nahi mil raha hai. Kya aap meri madad kar sakte hain? Mera PNR XXXXXX.,apne ticket paisa nahi mil sakte pnr xxxxxx,1
MORLY/E/2023/6789012,"Station ki building bahut purani hai. Mera PNR XXXXXX hai, is par kuch kaam hona chahiye.",station building bahut purani pnr xxxxxx kaam chahiye,0
MORLY/E/2023/7890123,"Mere saath staff ka behavior accha nahi tha. PNR XXXXXX hai, kya aap kuch kar sakte hain?",saath staff behavior accha nahi pnr xxxxxx sakte,0
MORLY/E/2023/8901234,Train ka punctuality bahut kharab hai. Mera PNR XXXXXX ka status check karne ka hai.,train punctuality bahut kharab pnr xxxxxx status check,0
MORLY/E/2023/9012345,Mera paisa refund nahi hua hai. Kya aap mujhe PNR XXXXXX ka paisa wapas kar sakte hain?,paisa refund nahi pnr xxxxxx paisa wapas sakte,1
MORLY/E/2023/0123456,"Station ki building bahut purani ho gayi hai. PNR XXXXXX, kya aap kuch kar rahe hain?",station building bahut purani pnr xxxxxx,0
MORLY/E/2023/1234567,Mere saath staff achhe se nahi baat kar rahe. Kya aap kuch badal sakte hain? Mera PNR XXXXXX.,saath staff achhe nahi baat badal sakte pnr xxxxxx,0
MORLY/E/2023/6543210,Railway ki timing bahut kharab hai. Mere train ka waqt badal diya gaya hai aur mein bhaag nahi paaya.,railway timing bahut kharab train waqt badal bhaag nahi paaya,0
MORLY/E/2023/9876543,"Maine ticket book kiya tha online par payment nahi hua, mujhe refund chahiye.",ticket book online payment nahi refund chahiye,1
MORLY/E/2023/1234568,"Train ke staff ne mujhe gaali di thi, unka behaviour bahut kharab tha.",train staff gaali behaviour bahut kharab,0
MORLY/E/2023/8765432,"Platform ka condition bahut kharab hai, bahut saari jaga khudai hai.",platform condition bahut kharab bahut saari jaga khudai,0
MORLY/E/2023/3456781,"Train time se nahi aayi, mujhe kaafi der tak wait karna pada.",train time nahi der wait pada,0
MORLY/E/2023/4567890,Mujhe ticket ka paisa wapas chahiye par mujhe koi response nahi mila.,ticket paisa wapas chahiye response nahi mila,1
MORLY/E/2023/5678901,"Train ke guard ne mere sath bura vyavhaar kiya, mujhe bahut bura laga.",train guard sath bura vyavhaar bahut bura laga,0
MORLY/E/2023/6789012,Railway station par safai nahi hai. Bahut gandh hai station par.,railway station safai nahi bahut gandh station,0
MORLY/E/2023/7890123,"Aaj ki train bahut late ho gayi hai, aisa aksar hota hai.",aaj train bahut late aisa aksar,0
MORLY/E/2023/8901234,"Mera payment processing mein problem aa raha hai, mujhe madad chahiye.",payment processing problem chahiye,1
MORLY/E/2023/0123457,"Train ke staff ki training behtar honi chahiye, unko logon se baat karni nahi aati.",train staff training behtar honi chahiye unko logon baat karni nahi aati,0
MORLY/E/2023/3456789,"Station ki building purani ho gayi hai, use renovate karne ki zaroorat hai.",station building purani use renovate zaroorat,0
MORLY/E/2023/4567890,Train ke schedule ke baare mein koi information nahi mil rahi hai.,train schedule baare information nahi mil,0
MORLY/E/2023/5678901,"Mujhe refund ke liye koi response nahi mila, kaise kar sakte hain.",refund response nahi mila sakte,1
MORLY/E/2023/6789012,Mujhe staff se koi help nahi mili jab main train se utara.,staff nahi mili jab main train utara,0
MORLY/E/2023/7890123,"Station par paani ki kami hai, bahut dikkat ho rahi hai.",station paani kami bahut dikkat,0
MORLY/E/2023/8901234,"Train ka schedule bilkul pata nahi chal raha hai, kaise jaana hai?",train schedule pata nahi chal jaana,0
MORLY/E/2023/9012345,"Maine online ticket book kiya tha par payment nahi hua, refund chahiye.",online ticket book payment nahi refund chahiye,1
MORLY/E/2023/0123456,"Mujhe staff ka vyavhaar theek nahi laga, unhone madad nahi ki.",staff vyavhaar theek nahi laga unhone nahi,0
MORLY/E/2023/3489243,Train ka timing bilkul galat hai. Aap log time pe kyun nahi chalu karte?,train timing galat log time nahi chalu karte,0
MORLY/E/2023/6843219,Mujhe refund nahi mila hai. Payment status ka pata nahi chal raha.,refund nahi mila payment status pata nahi chal,1
MORLY/E/2023/1847563,Staff ka behaviour bilkul bekar hai. Unhe train ki information tak nahi pata.,staff behaviour bekar train information nahi pata,0
MORLY/E/2023/1029331,Platform ka condition bilkul kharab hai. Kaise chalega aise?,platform condition kharab chalega aise,0
MORLY/E/2023/7645123,"Train itni der se aati hai, kabhi time pe nahi aati!",train itni der aati time nahi aati,0
MORLY/E/2023/8472691,"Mere account se paisa deduct ho gaya, par ticket nahi mil paaya!",account paisa deduct ticket nahi mil paaya,1
MORLY/E/2023/2548670,Railway staff ko train ki timing ka knowledge nahi hai. Bahut pareshani hoti hai.,railway staff train timing knowledge nahi bahut pareshani,0
MORLY/E/2023/9816524,Station ki safai bahut bekar hai. Kya aap kuch nahi kar sakte?,station safai bahut bekar nahi sakte,0
MORLY/E/2023/7654321,Train ka seat booking system kaafi bekar hai. Behtareen hona chahiye!,train seat booking system bekar behtareen chahiye,0
MORLY/E/2023/3571684,"Payment mein dikkat aa rahi hai, please madad karein.",payment dikkat,1
MORLY/E/2023/4782930,Railway staff ka attitude theek nahi hai. Customer service sudharo.,railway staff attitude theek nahi customer service sudharo,0
MORLY/E/2023/6123457,"Station ki safai nahi ho rahi hai, aap log kya kar rahe hain?",station safai nahi log,0
MORLY/E/2023/9876543,"Train punctuality bahut kharab hai, aap log kya kar rahe ho?",train punctuality bahut kharab log,0
MORLY/E/2023/1234567,"Payment refund nahi hua, please jaldi karen.",payment refund nahi jaldi karen,1
MORLY/E/2023/4567890,Personnel ka response kuch khaas nahi hai. Bahut time lagta hai.,personnel response khaas nahi bahut time lagta,0
MORLY/E/2023/7890123,"Platform pe khudai ho rahi hai, koi bhi nahi hai madad karne ke liye.",platform khudai nahi,0
MORLY/E/2023/4561237,Train ka aana jaana bahut hi late ho raha hai. Kya kar rahe hain aap log?,train aana jaana bahut late log,0
MORLY/E/2023/3214567,"Mujhe refund nahi mila, paise toh nikaal liye gaye.",refund nahi mila paise nikaal,1
MORLY/E/2023/6543210,Staff ka behaviour bahut hi bekaar hai. Better hona chahiye.,staff behaviour bahut bekaar better chahiye,0
MORLY/E/2023/9876543,Mere train ka schedule galat hai. Train time par nahi aayi. Bahut pareshaan hoon main.,train schedule galat train time nahi bahut pareshaan main,0
MORLY/E/2023/6543210,Mere payment ka confirmation nahi aaya. Kripya meri madad karein.,payment confirmation nahi kripya,1
MORLY/E/2023/7654321,"Station par safai nahi hoti hai, bahut ganda hai. Yeh bahut samasya hai.",station safai nahi bahut ganda bahut samasya,0
MORLY/E/2023/5432109,Staff bahut rude hai. Mujhe samajh nahi aaya ki main kya karun.,staff bahut rude samajh nahi main karun,0
MORLY/E/2023/2109876,"Mujhe train me seat nahi mili hai, bahut dikkat ho rahi hai. Aap please kuch karein.",train seat nahi mili bahut dikkat,0
MORLY/E/2023/0987654,"Mera ticket cancel ho gaya tha, paisa waapas nahi mila. Iska kya?",ticket cancel paisa waapas nahi mila,1
MORLY/E/2023/3210987,"Railway station ki building bahut purani hai, repair karni chahiye.",railway station building bahut purani repair karni chahiye,0
MORLY/E/2023/4567890,"Mujhe staff se accha vyavahar nahi mila, isse mujhe bahut takleef hui.",staff accha vyavahar nahi mila isse bahut takleef,0
MORLY/E/2023/9876543,"Train time par nahi aayi. Bahut samasya ho gayi, please kuch karein.",train time nahi bahut samasya,0
MORLY/E/2023/5432167,"Mere payment ka status nahi mil raha, please help.",payment status nahi mil,1
MORLY/E/2023/6789012,Station ki cleanliness bahut poor hai. Badi samasya hai yeh.,station cleanliness bahut poor badi samasya,0
MORLY/E/2023/7890123,"Staff ki training acchi nahi hai, bahut dikkat hoti hai.",staff training acchi nahi bahut dikkat,0
MORLY/E/2023/8901234,"Train late ho gayi, is wajah se mujhe bahut dikkat hui.",train late wajah bahut dikkat,0
MORLY/E/2023/3210980,"Mujhe refund nahi mila ab tak, please iska kya? Bahut wait kiya.",refund nahi mila bahut wait,1
MORLY/E/2023/6543210,"Railway track ki quality kharab hai, isse bahut dikkat hoti hai.",railway track quality kharab isse bahut dikkat,0
MORLY/E/2023/7890123,Staff ki training ki kami hai. Mujhe bahut samasya hui.,staff training kami bahut samasya,0
MORLY/E/2023/8901235,"Train ki service bahut bekar ho gayi hai, please kuch dhyan dein.",train service bahut bekar dhyan dein,0
MORLY/E/2023/1234567,Mera paisa ab tak nahi aaya. Bahut din ho gaye.,paisa nahi bahut din,1
MORLY/E/2023/2345678,"Platform ki halat bahut kharab hai, ispar dhyan dena zaroori hai.",platform halat bahut kharab ispar dhyan dena zaroori,0
MORLY/E/2023/1234567,"Train late aa rahi hai, mujhe office time par pahunchna hai.",train late office time pahunchna,0
MORLY/E/2023/2345678,"Mera payment nahi hua, mujhe receipt chahiye. PNR XXXXXX.",payment nahi receipt chahiye pnr xxxxxx,1
MORLY/E/2023/3456789,"Railway station par infrastructure bahut kharab hai, safai nahi ho rahi.",railway station infrastructure bahut kharab safai nahi,0
MORLY/E/2023/4567890,"Ticket checker ne mujhe bekar se daanta, yeh bilkul galat hai.",ticket checker bekar daanta galat,0
MORLY/E/2023/5678901,"Mujhe batao, meri train kab aaye gi? Delay ho raha hai!",batao train aaye delay,0
MORLY/E/2023/6789012,"Mujhe payment ka confirmation nahi mila hai, please check.",payment confirmation nahi mila check,1
MORLY/E/2023/7890123,"Station par seating arrangement bilkul kharab hai, bahut badi samasya hai.",station seating arrangement kharab bahut badi samasya,0
MORLY/E/2023/8901234,"Railway staff ka behavior theek nahi hai, unhe training deni chahiye.",railway staff behavior theek nahi training deni chahiye,0
MORLY/E/2023/9012345,"Train ko waqt par nahi chhodte, mujhe bahut dikkat hoti hai, plz dekh lo.",train waqt nahi chhodte bahut dikkat plz dekh,0
MORLY/E/2023/0123456,"Mera transaction pending hai, mujhe help chahiye.",transaction pending chahiye,0
MORLY/E/2023/1234568,"Platform ki safety bahut kharab hai, bahut dikkat hoti hai.",platform safety bahut kharab bahut dikkat,0
MORLY/E/2023/2345679,"TTE ne mere saath bura vyavhaar kiya, yeh acceptable nahi hai.",tte saath bura vyavhaar acceptable nahi,0
MORLY/E/2023/3456780,"Mujhe train ki timing ke baare mein information chahiye, please help.",train timing baare information chahiye,0
MORLY/E/2023/4567891,"Mujhe refund nahi mila hai, help karein.",refund nahi mila,1
